1339|14|1600|chrome|1
842|468|1600|chrome|1
828|456|1600|chrome|1
837|467|1600|chrome|1
825|464|1600|chrome|1
847|459|1600|chrome|1
849|465|1600|chrome|1
820|469|1600|chrome|1
841|461|1600|chrome|1
811|472|1600|firefox|1
804|451|1583|chrome|1
847|364|1583|chrome|1
892|500|1583|chrome|1
817|472|1600|chrome|1
826|459|1600|chrome|1
688|459|1349|chrome|1
750|442|1583|chrome|1
826|467|1600|chrome|1
789|446|1583|chrome|1
844|447|1583|firefox|1
903|485|1583|chrome|1
799|451|1583|chrome|1
940|493|1583|firefox|1
805|457|1583|chrome|1
803|450|1583|chrome|1
669|445|1583|chrome|1
926|482|1583|chrome|1
859|455|1583|chrome|1
721|438|1583|firefox|1
715|435|1349|chrome|1
826|463|1600|chrome|1
859|301|1600|chrome|1
799|377|1600|chrome|1
825|287|1600|chrome|1
803|466|1600|chrome|1
757|447|1583|chrome|1
687|448|1583|chrome|1
831|464|1600|chrome|1
846|438|1583|chrome|1
783|451|1583|chrome|1
789|450|1583|chrome|1
810|462|1600|chrome|1
916|491|1583|chrome|1
824|459|1600|chrome|1
846|443|1583|chrome|1
761|446|1583|chrome|1
774|283|1600|chrome|1
826|464|1600|chrome|1
502|64|1600|chrome|1
779|285|1600|chrome|1
751|453|1583|chrome|1
829|281|1600|chrome|1
829|467|1600|chrome|1
797|451|1583|chrome|1
824|282|1600|chrome|1
925|493|1583|chrome|1
822|454|1600|chrome|1
843|461|1600|chrome|1
731|454|1583|chrome|1
689|449|1583|chrome|1
738|294|1600|chrome|1
804|463|1600|chrome|3
531|291|1017|chrome|1
805|451|1583|chrome|1
915|492|1583|chrome|1
911|492|1583|chrome|1
685|293|1583|firefox|1
733|374|1583|firefox|1
1367|181|1583|firefox|1
1337|12|1583|firefox|1
1182|369|1583|firefox|1
827|471|1583|firefox|2
797|444|1583|firefox|1
757|286|1600|chrome|1
766|368|1600|chrome|1
897|61|1600|chrome|1
1055|66|1600|chrome|1
866|59|1017|chrome|1
1342|10|1600|chrome|1
828|462|1600|chrome|1
814|470|1583|firefox|1
788|436|1583|firefox|1
824|451|1583|chrome|1
699|432|1349|chrome|1
698|432|1349|chrome|1
792|484|1349|chrome|1
710|373|1583|chrome|1
729|436|1583|chrome|1
882|442|1583|chrome|1
946|249|1583|chrome|1
