428|293|1583|chrome|1
657|297|1583|chrome|1
677|317|1583|chrome|1
716|304|1583|chrome|1
635|48|1583|chrome|1
812|371|1583|chrome|1
428|374|1583|chrome|1
502|54|1583|chrome|1
451|287|1583|chrome|1
632|396|1583|chrome|1
621|56|1583|chrome|1
596|63|1583|chrome|1
631|52|1583|chrome|1
485|323|1017|chrome|1
494|368|1017|chrome|1
521|61|1583|chrome|1
966|7|1017|chrome|1
419|56|1017|chrome|1
407|51|1017|chrome|1
878|448|1583|chrome|1
1274|35|1583|chrome|1
658|358|1583|chrome|1
620|268|1583|chrome|1
290|491|1583|chrome|1
1122|425|1583|chrome|1
1115|501|1583|chrome|1
749|383|1583|chrome|1
1098|387|1583|chrome|1
1106|390|1583|chrome|1
1127|465|1583|chrome|1
1116|464|1583|chrome|1
1111|542|1583|chrome|1
1123|544|1583|chrome|1
1116|622|1583|chrome|1
1106|619|1583|chrome|1
599|330|1583|chrome|1
887|373|1583|chrome|1
629|51|1583|chrome|1
1100|391|1583|chrome|1
1112|545|1583|chrome|1
1118|621|1583|chrome|1
624|54|1583|chrome|1
1103|541|1583|chrome|1
986|127|1583|chrome|1
135|352|767|chrome|1
946|51|1583|chrome|1
437|302|1583|chrome|1
1101|389|1583|chrome|2
1098|392|1583|chrome|2
1120|467|1583|chrome|2
1097|612|1583|chrome|2
1097|623|1583|chrome|2
468|619|1583|chrome|1
499|110|1583|chrome|1
647|62|1583|chrome|1
1087|460|1583|chrome|1
998|570|1349|chrome|1
326|492|1349|chrome|1
